event_url,대분류,중분류,소분류,treatment_name,treatment_hashtags,main_image_url,rating,review_count,original_price,selling_price,vat_info,hospital_name,hospital_address,hospital_info,treatment_description,option_info,target_group,procedure_info,procedure_qna,downtime_info,side_effect_info,anesthesia_info,opening_hours,병원_연락처(안심번호)
https://www.yeoshin.co.kr/event/mobile/16693,,,,울쎄라 리프팅 편안한 케어,"#리프팅레이저
#타이트닝",https://d3gurpvil0se70.cloudfront.net/upfiles/images/product/IHI7Jba1PF5BnV3lyDxqKhHWwpc6.jpg?q=90&f=webp&w=1024,9.8,6.0,790000.0,783000,VAT 포함,세가지소원의원(압구정),서울특별시 강남구 논현로 824 세가지소원의원(압구정)주소복사,영어 응대 중국어 응대 일본어 응대,,VAT 포함,,,,울쎄라 시술시간 30~60분 마취여부 수면마취 회복시간 약 1주 시술효과 4~8주 후,,,수요일 10:00 ~ 19:00 / 목요일 10:00 ~ 20:00 / 금요일 10:00 ~ 19:00 / 토요일 10:00 ~ 17:00 / 일요일 휴진 / 월요일 10:00 ~ 19:00,0508-0353-5028
https://www.yeoshin.co.kr/event/mobile/25183,,,,대구 더올림 울쎄라 300샷,"#리프팅레이저
#타이트닝",https://d3gurpvil0se70.cloudfront.net/upfiles/images/product/0DHERngeEgdKrwz81QdyeyKkQi5A.jpg?q=90&f=webp&w=1024,9.5,2.0,770000.0,763000,VAT 포함,더올림성형외과의원,크림마취,전문의 1명 여의사 진료 사후관리,울쎄라 #고강도초음파 #리프팅레이저 고강도의 초음파 에너지를 피부 근막층에 도달시켜 늘어진 피부 조직을 수축하는 리프팅 시술입니다 #탄력개선 늘어진 피부에 강한 열 응고점을 만들어 수축시켜 강력한 리프팅 효과를 기대할 수 있습니다 #실시간피부영상 #정밀시술 의료인이 직접 초음파 영상기술을 통해 피부 구조를 눈으로 확인하며 한땀한땀 정밀하게 시술합니다 권장주기 6~12개월 / 3회 시술,VAT 포함,처진 피부와 팔자주름이 고민인 분 / 강력한 리프팅 효과를 원하는 분 / 피부의 전체적인 탄력 개선을 원하는 분 / 두툼한 이중턱이 고민인 분,,,울쎄라 시술시간 30~60분 마취여부 크림마취 회복시간 약 1주 시술효과 4~8주 후,,크림마취 수면마취,수요일 10:00 ~ 19:00 / 목요일 10:00 ~ 19:00 / 금요일 10:00 ~ 19:00 / 토요일 10:00 ~ 16:00 / 일요일 휴진 / 월요일 10:00 ~ 19:00,050803531308
https://www.yeoshin.co.kr/event/mobile/27687,,,,프라임 온쎄라_울쎄라피 프라임 & 온다,"#리프팅레이저
#타이트닝",https://d3gurpvil0se70.cloudfront.net/upfiles/images/product/BN86sckuu5LOqn7DsT1zqd5rLGmA.png?q=90&f=webp&w=1024,,,1419000.0,1412000,VAT 포함,뷰티블라썸의원,"서울특별시 마포구 양화로 66 (서교동) 5층,6층주소복사",여의사 진료 사후관리 영어 응대 중국어 응대 일본어 응대,,VAT 포함,,,,울쎄라피프라임 시술시간 30~60분 마취여부 크림마취 회복시간 약 1~3일 시술효과 1~2개월,,,수요일 10:00 ~ 20:00 / 목요일 10:00 ~ 20:00 / 금요일 10:00 ~ 20:00 / 토요일 10:00 ~ 16:30 / 일요일 10:00 ~ 16:30 / 월요일 10:00 ~ 20:00 / 대체 공휴일 진료,0508-0353-9342
https://www.yeoshin.co.kr/event/mobile/5421,,,,정품정량 울쎄라피 프라임 리프팅 100샷,"#리프팅레이저
#타이트닝",https://d3gurpvil0se70.cloudfront.net/upfiles/images/product/WddrJAlUmxmP9KpT3AHJVrxrZtE.jpg?q=90&f=webp&w=1024,9.1,54.0,,378000,,온리프성형외과,서울특별시 서초구 강남대로 399 온리프성형외과주소복사,전문의 1명 영어 응대 중국어 응대 일본어 응대 피부진단기 F-RAY 촬영 >,,,,,,울쎄라피프라임 시술시간 30~60분 마취여부 크림마취 회복시간 약 1~3일 시술효과 1~2개월,,,수요일 11:00 ~ 20:00 / 목요일 11:00 ~ 20:00 / 금요일 11:00 ~ 21:00 / 토요일 10:00 ~ 17:00 / 일요일 휴진 / 월요일 11:00 ~ 20:00,0508-0353-1273
https://www.yeoshin.co.kr/event/mobile/26604,,,,BTQ 울쎄라 리프팅 특가,"#리프팅레이저
#타이트닝",https://d3gurpvil0se70.cloudfront.net/upfiles/images/product/xBnoWqgZNAmqePfFLFAHxUmvXyW8.png?q=90&f=webp&w=1024,10.0,7.0,1250000.0,1243000,VAT 포함,비티큐의원,크림마취,전문의 1명 여의사 진료 전담회복실 중국어 응대 피부진단기 F-RAY 촬영 >,울쎄라 #고강도초음파 #피부깊은곳까지 고강도의 초음파 에너지를 피부 근막층에 도달시켜 늘어진 피부 조직을 수축 #강력한리프팅 #탄력개선 노화로 늘어진 피부에 강한 열 응고점을 만들어 수축시켜 강력한 리프팅 효과 #실시간확인 #정밀시술 초음파 영상기술을 통해 피부 깊이 및 구조를 눈으로 확인해 정밀한 시술 가능,VAT 포함,강력한 리프팅 효과를 원하는 분 / 늘어지고 처진 피부의 리프팅을 원하는 분 / 피부의 전체적인 탄력 개선을 원하는 분 / 피부탄력 효과를 길게 느끼고 싶은 분,,"기존 리프팅 시술과 다른 점이 무엇인가요? 울쎄라는 초음파 영상으로 시술부위를 보여주고, 동시에 치료도 할 수 있는 장비로 비교적 안전하고 만족스러운 결과를 기대할 수 있습니다. 시술이 아프지 않나요? 적은 에너지로 충분한 치료가 가능하며 효과를 낼 수 있기 때문에 통증이 줄어들어 편안하게 시술을 받으실수 있습니다.",울쎄라 시술시간 30~60분 마취여부 크림마취 회복시간 약 1주 시술효과 4~8주 후,"주의사항 1 일시적으로 턱 주변이 붓거나 입 움직임이 불편할 수 있습니다. 2 시술 후 시술 부위를 강하게 마사지하거나 누르지 말아주세요. 3 시술 후 붉은 기, 붓기가 일시적으로 나타날 수 있습니다.",크림마취 가글마취 비수면 무통마취 국소마취,수요일 10:00 ~ 20:00 / 목요일 10:00 ~ 20:00 / 금요일 10:00 ~ 20:00 / 토요일 10:00 ~ 16:00 / 일요일 휴진 / 월요일 10:00 ~ 20:00 / 공휴일 : 10:00 ~ 16:00,050803542323
https://www.yeoshin.co.kr/event/mobile/20567,,,,탄방동 프리미엄 리프팅 울쎄라 100샷,"#리프팅레이저
#타이트닝",https://d3gurpvil0se70.cloudfront.net/upfiles/images/product/rYbt89JyzYtmsmAbC6tRrPQ9sTe8.png?q=90&f=webp&w=1024,,,363000.0,356000,VAT 포함,닥터쁘띠의원(대전점),대전광역시 서구 문정로48번길 70 (탄방동) 우리병원건물 2층 닥터쁘띠의원 대전점 주소복사,여의사 진료,울쎄라 #고강도초음파 #피부깊은곳까지 고강도의 초음파 에너지를 피부 근막층에 도달시켜 늘어진 피부 조직을 수축 #강력한리프팅 #탄력개선 노화로 늘어진 피부에 강한 열 응고점을 만들어 수축시켜 강력한 리프팅 효과 #실시간확인 #정밀시술 초음파 영상기술을 통해 피부 깊이 및 구조를 눈으로 확인해 정밀한 시술 가능 권장주기 6~12개월 / 3회 시술,VAT 포함,처진 피부와 팔자주름이 고민인 분 / 강력한 리프팅 효과를 원하는 분 / 피부의 전체적인 탄력 개선을 원하는 분 / 두툼한 이중턱이 고민인 분,시술 특장점 피부 속 깊이 초음파 에너지 전달 피부 속 깊이 SMAS층에만 초음파 에너지를 집중 전달합니다. 피부 조직 리모델링 촉진 장기간 조직 리모델링을 촉진하고 탄력 개선 지속 효과가 있습니다. 초음파 영상기술으로 정밀한 시술 실시간 초음파 영상기술을 통해 피부 깊이 및 구조를 확인하며 시술이 가능합니다.,"기존 리프팅 시술과 다른 점이 무엇인가요? 울쎄라는 초음파 영상으로 시술부위를 보여주고, 동시에 치료도 할 수 있는 장비로 비교적 안전하고 만족스러운 결과를 기대할 수 있습니다. 시술이 아프지 않나요? 적은 에너지로 충분한 치료가 가능하며 효과를 낼 수 있기 때문에 통증이 줄어들어 편안하게 시술을 받으실수 있습니다.",울쎄라 시술시간 30~60분 마취여부 크림마취 회복시간 약 1주 시술효과 4~8주 후,"주의사항 1 일시적으로 턱 주변이 붓거나 입 움직임이 불편할 수 있습니다. 2 시술 후 시술 부위를 강하게 마사지하거나 누르지 말아주세요. 3 시술 후 붉은 기, 붓기가 일시적으로 나타날 수 있습니다.",,수요일 10:00 ~ 20:00 (점심 13:00 ~ 14:00) / 목요일 10:00 ~ 20:00 (점심 13:00 ~ 14:00) / 금요일 10:00 ~ 20:00 (점심 13:00 ~ 14:00) / 토요일 10:00 ~ 16:30 / 일요일 휴진 / 월요일 10:00 ~ 20:00 (점심 13:00 ~ 14:00) / *공휴일 : 10:00 ~ 17:00,0508-0353-0924
https://www.yeoshin.co.kr/event/mobile/18540,,,,여배우리프팅 상륙! 울쎄라써마지티타늄리프팅,"#리프팅레이저
#타이트닝",https://d3gurpvil0se70.cloudfront.net/upfiles/images/product/cKYp59v7ZkbxxphS8ToUUVBOJvB7.jpg?q=90&f=webp&w=1024,9.6,73.0,590000.0,583000,VAT 포함,로렐의원,서울특별시 강남구 선릉로152길 17 (청담동) 7층주소복사,전문의 1명 영어 응대 중국어 응대 일본어 응대,,VAT 포함,,,,티타늄 시술시간 20분 마취여부 마취없음 회복시간 당일 시술효과 2~4주 후,,,수요일 10:00 ~ 19:00 (점심 13:00 ~ 14:00) / 목요일 10:00 ~ 20:30 (점심 13:00 ~ 14:00) / 금요일 10:00 ~ 20:30 (점심 13:00 ~ 14:00) / 토요일 10:00 ~ 17:00 / 일요일 휴진 / 월요일 10:00 ~ 19:00 (점심 13:00 ~ 14:00),0508-0353-5495
https://www.yeoshin.co.kr/event/mobile/21364,,,,"정품정샷울쎄라(전문의,정품인증)","#리프팅레이저
#타이트닝",https://d3gurpvil0se70.cloudfront.net/upfiles/images/product/MCu44DXkivi4OOEdjr57mCGSiBl5.jpg?q=90&f=webp&w=1024,9.7,20.0,335000.0,328000,VAT 포함,청담란셀의원,서울특별시 강남구 봉은사로 325 (논현동) 라임타워 2층주소복사,전문의 1명 여의사 진료,울쎄라 #리프팅#강남리프팅#강남울쎄라 고강도의 초음파 에너지를 피부 근막층에 도달시켜 늘어진 피부 조직을 수축 #강력한리프팅 #탄력개선#강남리프팅 노화로 늘어진 피부에 강한 열 응고점을 만들어 수축시켜 강력한 리프팅 효과 #실시간확인 #정밀시술#강남울쎄라 초음파 영상기술을 통해 피부 깊이 및 구조를 눈으로 확인해 정밀한 시술 가능 권장주기 6~12개월 / 3회 시술,VAT 포함,처진 피부와 팔자주름이 고민인 분 / 강력한 리프팅 효과를 원하는 분 / 피부의 전체적인 탄력 개선을 원하는 분 / 두툼한 이중턱이 고민인 분,,,울쎄라 시술시간 30~60분 마취여부 크림마취 회복시간 약 1주 시술효과 4~8주 후,,,수요일 10:00 ~ 16:00 / 목요일 10:00 ~ 19:00 / 금요일 10:00 ~ 19:00 / 토요일 10:00 ~ 16:00 / 일요일 휴진 / 월요일 10:00 ~ 19:00,0508-0353-5927
https://www.yeoshin.co.kr/event/mobile/23106,,,,UP! 강력 초음파 리프팅_울쎄라피 프라임,"#리프팅레이저
#타이트닝",https://d3gurpvil0se70.cloudfront.net/upfiles/images/product/pOzeEtnQr0WgZyJa5HoqrpKN0mU9.png?q=90&f=webp&w=1024,10.0,3.0,1199000.0,1192000,VAT 포함,뷰티블라썸의원,"서울특별시 마포구 양화로 66 (서교동) 5층,6층주소복사",여의사 진료 사후관리 영어 응대 중국어 응대 일본어 응대,,VAT 포함,,,,울쎄라피프라임 시술시간 30~60분 마취여부 크림마취 회복시간 약 1~3일 시술효과 1~2개월,,,수요일 10:00 ~ 20:00 / 목요일 10:00 ~ 20:00 / 금요일 10:00 ~ 20:00 / 토요일 10:00 ~ 16:30 / 일요일 10:00 ~ 16:30 / 월요일 10:00 ~ 20:00 / 대체 공휴일 진료,0508-0353-9342
https://www.yeoshin.co.kr/event/mobile/26166,,,,신상 울쎄라피 프라임,"#피부과 전문의
#리프팅레이저
#타이트닝",https://d3gurpvil0se70.cloudfront.net/upfiles/images/product/KNMj6n6Dphe82yibXw2FiKDW4BrA.jpg?q=90&f=webp&w=1024,,,1290000.0,1283000,VAT 포함,신상성형외과의원,"서울특별시 강남구 도산대로 150 (논현동) 5층,6층 신상성형외과의원주소복사",전문의 6명,,VAT 포함,,,,울쎄라피프라임 시술시간 30~60분 마취여부 크림마취 회복시간 약 1~3일 시술효과 1~2개월,,,수요일 10:00 ~ 19:00 / 목요일 10:00 ~ 19:00 / 금요일 10:00 ~ 21:00 / 토요일 10:00 ~ 17:00 / 일요일 휴진 / 월요일 10:00 ~ 19:00 / [접수마감] 월~목 : 18시 / 금 : 20시 / 토 16시,0508-0353-5883
